Stkcd,Empnum,Vmntw3,A001000000,B001100000,B002000000,C001000000,T40801,T60200
603601,1485,4632708.91,2742389115.64,1884228703.44,394547220.12,291270329.26,0.2079,0.5487
603602,788,2571300,1576939936.81,777554759.1,-2511592.24,44237227.29,-0.0035,-0.0123
603603,994,3597700,11903968800.9,1920470874.91,-452048390.06,259028507.93,-0.338,-1.082
603605,2898,3708900,3636882185.29,3752386849.02,451609554.23,331550109.14,0.182,2.2455
603606,1138,2209000,6092020579.36,5052336113.63,887397504.24,693984410.82,0.2835,1.3567
603607,567,1856000,1099422349.2,704234024.67,106561181.39,104408110.13,0.1178,0.5969
603608,5108,2852900,2691246326,1878085689,-460039406,242091317,-0.2674,-1.0726
603609,7205,2103100,11646508203.99,23817600766.26,1357578963.47,765945453.03,0.1718,1.4723
603610,2878,2842700,3612371213.8,2259908657.28,270672055.25,52920161.91,0.0914,1.3047
603611,3564,2479700,5657727966.18,4077054876.79,239754061.09,266706123.75,0.1256,0.8973
603612,3208,2676400,8488111129.18,5850837028.38,285809133.89,342931470.95,0.0653,0.6592
603613,806,1981500,6724821897.03,17157783238.42,357999624.51,776737609.12,0.0915,1.5094
603615,1565,2681300,1466970562.37,689892417.47,36923406.01,1712356.67,0.0288,0.151
603616,596,3151800,2404260707,976941574.39,31539820.57,271579278.32,0.0405,0.1075
603617,987,1388700,1346597344,738097199.48,97305979.41,136462962.03,0.1351,0.4878
603618,1664,1092600,7444751617.35,5813677967.21,124045795.44,-65438309.22,0.0443,0.1795
603619,2653,1303400,5044971498.72,1584663893.94,-487164476.2,217762708.17,-0.2559,-1.2179
603626,7030,4350000,6027604602.07,3467021449.85,-54527350.88,107830404.62,-0.0256,-0.1111
603629,3648,1188500,2195912776.7,1647616189.74,43699697.99,-43577677.59,0.0431,0.437
603630,1432,1458500,2040093123.91,983826313.19,112803628.51,108652782.8,0.0607,0.4975
603633,1498,1932000,1799045800.03,529450282.53,42883094.47,113676892.43,0.0397,0.1627
603636,2703,2935400,4586034899.7,1539150370.43,259282925.57,158240563.37,0.0962,0.4389
603638,2345,1929500,3711912271.13,2255624478.24,516077211.55,334587363.71,0.2108,0.8618
603639,2511,1743500,4313363396.47,3227189876.95,406663515.9,587508248.49,0.1554,1.7126
603655,489,2766300,542550894.46,168689409.74,22532561.22,22867538.12,0.0443,0.2126
603656,1205,2426700,1197844363.8,474759159.52,40568164.96,25110812.65,0.042,0.2649
603657,1939,2441100,1237055630.75,854002047.66,142445444.16,58795801.68,0.1481,1.0599
603658,4544,1769600,8137141424.06,2978131605.36,757090784.06,994713153.79,0.115,1.6788
603659,4944,6825500,14486275424.65,5280674058.78,726937911.79,693563527.25,0.0815,1.4655
603660,5027,2353100,3525122514.84,2353776495.79,85527167.62,102869360.36,0.044,0.1713
603661,7801,2497800,5248667608.35,4743093735.24,378428567.88,688304481.44,0.1312,3.7843
603662,1835,1920600,2434712121.37,835357791.61,223641026.03,267007493.12,0.1159,1.3379
603663,865,1231200,1333083135.91,733112875.56,74655294.51,148245802.92,0.0995,0.3879
603665,2243,1364800,2198823915.63,1073560266.41,87225464.64,-298676017.86,0.078,0.5512
603666,656,3508400,1985634244.57,1005607702.74,335478920.83,66909322.86,0.2182,2.4198
603667,3953,1380000,3395476333.31,1753991019.5,63144625.09,230217712.24,0.0334,0.216
603668,1321,2175900,3303044637.99,3639957005.03,108511136.32,406755315.92,0.0721,0.3194
603669,701,1700000,2716208544.25,1001002362.94,160072940.16,126813751.04,0.1082,0.2244
603676,500,2073500,1360062389.97,715666807.59,58424813.3,133697656.42,0.0594,0.1381
603677,2546,2578700,1808109989.61,1559374078.12,56206359.28,309325081.13,0.0542,0.2925
603678,1826,2618800,5933934468.15,3656246816.16,630593849.1,25429416.51,0.1567,1.3713
603679,791,1254100,1578122399.91,702362857.54,66551889.6,-92221119.67,0.0845,0.4658
603680,8418,3100000,9084608985.54,3877594184.41,386938427.62,701607730.07,0.0857,0.4894
