y,x1,lnx2,lnx3,ln|x4|,ln|x5|,x6,x7
2255900,3565,22.9696163992664,21.410064964224,17.4575788500167,-19.7624550884244,0.0144,0.0489
960900,199,22.4844267884797,20.950222411232,19.7520503076998,-17.9717409778398,0.071,0.2647
4875300,7469,24.643079172057,22.6810882108031,-20.9277747896667,21.8596289265786,-0.1471,-2.2894
1043300,133,19.776097072573,19.6538007657819,14.942582371751,15.7517404311126,0.0145,0.0073
2989500,4462,24.0321087594304,21.5349295398201,21.2488302535187,19.7827048500589,0.0719,1.4543
8058100,623,22.6124675322248,24.801505667303,17.8091940282524,-19.6453425339663,0.0193,0.0999
2703900,2379,26.2014126457571,24.1430532296216,20.834722993795,23.7876417139337,0.0323,0.2263
1983300,615,22.7311851812693,20.1804994195307,19.3480930753677,-21.3145263889319,0.0398,0.1039
2022300,209,19.2774720255496,18.6939944922002,15.7852780830922,-15.8355265529466,0.0435,0.0186
6292200,684,21.3762090799495,22.1090406110669,-12.8448628170021,18.0545481812536,-0.0004,-0.0007
919100,670,20.0448429896137,18.5249808444187,-16.8314117843561,-14.3690633171166,-0.1212,-0.066
1023400,1957,22.7675880716258,22.4776132242313,19.643668408073,20.3703679908413,0.0791,0.3147
2780000,6538,22.5646170788065,22.1357405296927,20.3041943784741,20.5853036624894,0.1172,0.4698
40215400,22910,26.6664797679653,25.1972380199287,22.9958410931674,23.397959661061,0.132,1.8174
3105600,7546,22.9428149526617,23.0177641225108,19.5075236645892,-18.9627776755615,0.06,0.2812
3375000,1896,21.5109649238122,20.9548063294503,-19.0109267702002,19.2908742246579,-0.3731,-0.1403
8654000,1988,24.0666293589162,22.1599475651659,-19.9188675602309,18.1170136847008,-0.0654,-0.1813
3064800,167,21.6861545815083,18.5121958988414,-16.9633309547373,-18.3662502360737,-0.0223,-0.1586
1450000,1160,22.1252457910887,21.5577385062447,-17.2960886109715,19.7118123191724,-0.0222,-0.0477
1644000,136,21.1074527188664,20.3665424997225,17.1402164349608,-18.4185820479297,0.1642,0.0958
12000000,21319,26.5877541821565,25.1320712538068,22.4264391333045,23.7844820944826,0.0927,1.3275
3550000,2433,23.1483988113213,22.5845968029744,21.4395031458239,21.4234663980153,0.2857,2.5156
3082200,895,22.5139931881188,23.1008184569582,-21.8102994163798,-19.2141487790291,-0.8107,-2.2369
780000,931,20.5808125421968,20.3379748533708,16.6320440027301,17.7000511499289,0.0242,0.0194
967000,3515,21.6775045064039,20.8985052660888,-18.3537683964237,-17.5831860456688,-0.0812,-0.2035
3282100,467,21.0190478867815,18.9847022964667,15.1920012623988,-17.6915864381985,0.0059,0.0111
2154200,483,22.1192046551275,20.161938846644,18.77347388409,18.5383047955048,0.0449,1.9258
1994900,4887,23.8697763799181,22.7642339113575,18.6551112098006,21.4110301450184,0.0104,0.0338
2057000,903,21.9953292012487,20.6262864987269,18.8070234391101,19.3887526307108,0.0609,0.1294
2740000,1312,23.6834547149614,22.6917300389144,21.3209276167872,21.9810816545089,0.1668,0.8355
741700,444,20.4049821355558,19.3980917918769,17.260063852582,-18.0979063032221,0.1351,0.0969
3217600,1714,21.9365925056827,20.8467960603509,-19.9914964623425,18.4046537353391,-0.4733,-0.7163
7367900,5810,22.8471212857362,22.5355552126253,16.2602929975017,19.3352728511,0.0042,0.0126
4124900,18154,25.2478794215919,25.1825963960008,22.0621021669872,22.3354545181347,0.1259,1.0361
